Size (360, 360, 360); Boundaries 20; Domains (6, 9, 1); Time 40.34 s; Iterations 332; Residual norm 9.719e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 10, 1); Time 43.44 s; Iterations 331; Residual norm 9.662e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 11, 1); Time 46.25 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 12, 1); Time 49.48 s; Iterations 332; Residual norm 9.705e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 13, 1); Time 51.78 s; Iterations 332; Residual norm 9.732e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 14, 1); Time 54.26 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 15, 1); Time 56.69 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 16, 1); Time 59.63 s; Iterations 331; Residual norm 9.662e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 17, 1); Time 62.98 s; Iterations 332; Residual norm 9.728e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 18, 1); Time 66.05 s; Iterations 332; Residual norm 9.705e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 19, 1); Time 68.63 s; Iterations 332; Residual norm 9.774e-07 
Size (360, 360, 360); Boundaries 20; Domains (6, 20, 1); Time 71.27 s; Iterations 331; Residual norm 9.688e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 1, 1); Time 10.26 s; Iterations 222; Residual norm 9.594e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 2, 1); Time 20.48 s; Iterations 332; Residual norm 9.670e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 3, 1); Time 25.03 s; Iterations 333; Residual norm 9.793e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 4, 1); Time 27.84 s; Iterations 332; Residual norm 9.714e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 5, 1); Time 30.76 s; Iterations 333; Residual norm 9.794e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 6, 1); Time 34.30 s; Iterations 332; Residual norm 9.715e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 7, 1); Time 39.45 s; Iterations 333; Residual norm 9.795e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 8, 1); Time 41.11 s; Iterations 332; Residual norm 9.723e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 9, 1); Time 44.67 s; Iterations 333; Residual norm 9.800e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 10, 1); Time 47.98 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 11, 1); Time 50.94 s; Iterations 333; Residual norm 9.802e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 12, 1); Time 54.98 s; Iterations 333; Residual norm 9.785e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 13, 1); Time 57.65 s; Iterations 333; Residual norm 9.813e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 14, 1); Time 61.09 s; Iterations 333; Residual norm 9.802e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 15, 1); Time 64.18 s; Iterations 333; Residual norm 9.801e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 16, 1); Time 66.95 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 17, 1); Time 70.71 s; Iterations 333; Residual norm 9.810e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 18, 1); Time 74.93 s; Iterations 333; Residual norm 9.784e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 19, 1); Time 77.52 s; Iterations 333; Residual norm 9.857e-07 
Size (360, 360, 360); Boundaries 20; Domains (7, 20, 1); Time 81.14 s; Iterations 332; Residual norm 9.747e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 1, 1); Time 9.67 s; Iterations 220; Residual norm 9.707e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 2, 1); Time 19.94 s; Iterations 330; Residual norm 9.968e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 3, 1); Time 25.00 s; Iterations 332; Residual norm 9.713e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 4, 1); Time 28.05 s; Iterations 331; Residual norm 9.658e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 5, 1); Time 31.00 s; Iterations 332; Residual norm 9.715e-07 
